Wed Jun  3 06:47:25 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.57.08              Driver Version: 575.57.08      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H200                    On  |   00000000:4C:00.0 Off |                    0 |
| N/A   37C    P0             81W /  700W |       0MiB / 143771MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
JAX devices: [CudaDevice(id=0)]
Step 14900: grad_norm=0.0525, loss=0.0073, param_norm=1814.8346
Step 15000: grad_norm=0.0482, loss=0.0069, param_norm=1814.9193
Step 15100: grad_norm=0.0508, loss=0.0071, param_norm=1815.0000
Step 15200: grad_norm=0.0477, loss=0.0074, param_norm=1815.0811
Step 15300: grad_norm=0.0547, loss=0.0073, param_norm=1815.1631
Step 15400: grad_norm=0.0473, loss=0.0069, param_norm=1815.2484
Step 15500: grad_norm=0.0517, loss=0.0075, param_norm=1815.3325
Step 15600: grad_norm=0.0482, loss=0.0071, param_norm=1815.4141
Step 15700: grad_norm=0.0533, loss=0.0067, param_norm=1815.4987
Step 15800: grad_norm=0.0493, loss=0.0071, param_norm=1815.5850
Step 15900: grad_norm=0.0501, loss=0.0073, param_norm=1815.6637
Step 16000: grad_norm=0.0543, loss=0.0070, param_norm=1815.7423
Step 16100: grad_norm=0.0436, loss=0.0068, param_norm=1815.8243
Step 16200: grad_norm=0.0492, loss=0.0072, param_norm=1815.9093
Step 16300: grad_norm=0.0450, loss=0.0071, param_norm=1815.9966
Step 16400: grad_norm=0.0521, loss=0.0072, param_norm=1816.0815
Step 16500: grad_norm=0.0480, loss=0.0071, param_norm=1816.1669
Step 16600: grad_norm=0.0512, loss=0.0073, param_norm=1816.2480
Step 16700: grad_norm=0.0464, loss=0.0072, param_norm=1816.3323
Step 16800: grad_norm=0.0480, loss=0.0070, param_norm=1816.4174
Step 16900: grad_norm=0.0501, loss=0.0071, param_norm=1816.5028
Step 17000: grad_norm=0.0486, loss=0.0069, param_norm=1816.5801
Step 17100: grad_norm=0.0538, loss=0.0070, param_norm=1816.6613
Step 17200: grad_norm=0.0520, loss=0.0072, param_norm=1816.7495
Step 17300: grad_norm=0.0528, loss=0.0068, param_norm=1816.8300
Step 17400: grad_norm=0.0487, loss=0.0067, param_norm=1816.9065
Step 17500: grad_norm=0.0480, loss=0.0067, param_norm=1816.9896
Step 17600: grad_norm=0.0550, loss=0.0071, param_norm=1817.0742
Step 17700: grad_norm=0.0454, loss=0.0067, param_norm=1817.1595
Step 17800: grad_norm=0.0507, loss=0.0069, param_norm=1817.2384
Step 17900: grad_norm=0.0503, loss=0.0071, param_norm=1817.3208
Step 18000: grad_norm=0.0501, loss=0.0069, param_norm=1817.4031
Step 18100: grad_norm=0.0461, loss=0.0063, param_norm=1817.4841
Step 18200: grad_norm=0.0498, loss=0.0069, param_norm=1817.5709
Step 18300: grad_norm=0.0518, loss=0.0070, param_norm=1817.6517
Step 18400: grad_norm=0.0474, loss=0.0068, param_norm=1817.7346
Step 18500: grad_norm=0.0484, loss=0.0067, param_norm=1817.8175
Step 18600: grad_norm=0.0478, loss=0.0070, param_norm=1817.9023
Step 18700: grad_norm=0.0507, loss=0.0069, param_norm=1817.9801
Step 18800: grad_norm=0.0510, loss=0.0067, param_norm=1818.0640
Step 18900: grad_norm=0.0459, loss=0.0071, param_norm=1818.1459
Step 19000: grad_norm=0.0563, loss=0.0070, param_norm=1818.2340
Step 19100: grad_norm=0.0506, loss=0.0068, param_norm=1818.3159
Step 19200: grad_norm=0.0518, loss=0.0066, param_norm=1818.3971
Step 19300: grad_norm=0.0515, loss=0.0069, param_norm=1818.4828
Step 19400: grad_norm=0.0459, loss=0.0066, param_norm=1818.5677
Step 19500: grad_norm=0.0551, loss=0.0064, param_norm=1818.6512
Step 19600: grad_norm=0.0478, loss=0.0068, param_norm=1818.7385
Step 19700: grad_norm=0.0493, loss=0.0068, param_norm=1818.8206
Step 19800: grad_norm=0.0518, loss=0.0064, param_norm=1818.9028
Step 19900: grad_norm=0.0541, loss=0.0069, param_norm=1818.9878
Step 20000: grad_norm=0.0523, loss=0.0069, param_norm=1819.0750
Step 20100: grad_norm=0.0483, loss=0.0066, param_norm=1819.1603
Step 20200: grad_norm=0.0495, loss=0.0066, param_norm=1819.2391
Step 20300: grad_norm=0.0499, loss=0.0069, param_norm=1819.3229
Step 20400: grad_norm=0.0490, loss=0.0067, param_norm=1819.4038
Step 20500: grad_norm=0.0532, loss=0.0066, param_norm=1819.4867
Step 20600: grad_norm=0.0451, loss=0.0067, param_norm=1819.5647
Step 20700: grad_norm=0.0503, loss=0.0067, param_norm=1819.6448
Step 20800: grad_norm=0.0540, loss=0.0068, param_norm=1819.7296
Step 20900: grad_norm=0.0507, loss=0.0067, param_norm=1819.8114
Step 21000: grad_norm=0.0478, loss=0.0066, param_norm=1819.8907
Step 21100: grad_norm=0.0457, loss=0.0066, param_norm=1819.9722
Step 21200: grad_norm=0.0457, loss=0.0064, param_norm=1820.0542
Step 21300: grad_norm=0.0441, loss=0.0065, param_norm=1820.1382
Step 21400: grad_norm=0.0504, loss=0.0068, param_norm=1820.2195
Step 21500: grad_norm=0.0538, loss=0.0070, param_norm=1820.3065
Step 21600: grad_norm=0.0468, loss=0.0063, param_norm=1820.3885
Step 21700: grad_norm=0.0455, loss=0.0066, param_norm=1820.4696
Step 21800: grad_norm=0.0476, loss=0.0068, param_norm=1820.5516
Step 21900: grad_norm=0.0462, loss=0.0067, param_norm=1820.6382
Step 22000: grad_norm=0.0482, loss=0.0063, param_norm=1820.7163
Step 22100: grad_norm=0.0565, loss=0.0069, param_norm=1820.7982
Step 22200: grad_norm=0.0488, loss=0.0065, param_norm=1820.8781
Step 22300: grad_norm=0.0490, loss=0.0064, param_norm=1820.9557
Step 22400: grad_norm=0.0441, loss=0.0065, param_norm=1821.0356
Step 22500: grad_norm=0.0472, loss=0.0066, param_norm=1821.1184
Step 22600: grad_norm=0.0463, loss=0.0064, param_norm=1821.2037
Step 22700: grad_norm=0.0530, loss=0.0065, param_norm=1821.2859
Step 22800: grad_norm=0.0450, loss=0.0064, param_norm=1821.3656
Step 22900: grad_norm=0.0460, loss=0.0066, param_norm=1821.4451
Step 23000: grad_norm=0.0498, loss=0.0065, param_norm=1821.5248
Step 23100: grad_norm=0.0461, loss=0.0063, param_norm=1821.6069
Step 23200: grad_norm=0.0459, loss=0.0064, param_norm=1821.6853
Step 23300: grad_norm=0.0487, loss=0.0065, param_norm=1821.7657
Step 23400: grad_norm=0.0493, loss=0.0064, param_norm=1821.8450
Step 23500: grad_norm=0.0456, loss=0.0065, param_norm=1821.9272
Step 23600: grad_norm=0.0472, loss=0.0066, param_norm=1822.0089
Step 23700: grad_norm=0.0487, loss=0.0066, param_norm=1822.0907
Step 23800: grad_norm=0.0500, loss=0.0063, param_norm=1822.1721
